PassengerFirstName;PassengerSecondName;PassengerLastName;PassengerSex;PassengerBirthDate;PassengerDocument;BookingCode;TicketNumber;Baggage;FlightDate;FlightTime;FlightNumber;CodeShare;Destination
;;;;;;;;;;;;;
SAVELII;VIKTOROVICH;RUSANOV;Male;03.10.1983;2 879 096 860;FRNINO;6,62596E+15;Transit;22.03.2017;6:05;SU1369;Own;Moscow
LEV;MARKOVICH;ISAEV;Male;12/13/1975;1 788 173 211;Not presented;1,64372E+15;Registered;18.03.2017;22:10;SU1180;Own;Volgograd
NIKOLAI;I.;NIKOLSKII;Male;12/26/1990;4 396 926 588;VWNYGF;6,24742E+15;Transit;18.03.2017;22:10;SU1180;Own;Volgograd
ANATOLII;PETROVICH;SHILOV;Male;05/24/1997;2 595 919 752;WQFFUE;Not presented;Registered;18.03.2017;22:10;SU1180;Own;Volgograd
MIROSLAVA;VIACHESLAVOVNA;SEMENOVA;Female;01/31/1976;6 775 516 990;Not presented;Not presented;Registered;12.03.2017;11:45;SU6284;Own;Moscow
ARTEM;EDUARDOVICH;KAPUSTIN;Male;10/24/1982;58 142 289;JJADFB;7,46775E+15;Transit;12.03.2017;11:45;SU6284;Own;Moscow
ZARINA;E.;TITOVA;Female;12/22/2000;6 600 251 370;Not presented;5,95407E+15;None;29.07.2017;14:15;SU1281;Own;Moscow
SAMIR;GORDEEVICH;BARSUKOV;Male;02/21/1995;78 271 703;WGKZTB;2,26472E+15;Registered;29.07.2017;14:15;SU1281;Own;Moscow
RAMIL;E.;ROZHKOV;Male;02.02.1980;595 142 701;POFVPI;Not presented;Registered;07.04.2017;0:15;SU1482;Own;Krasnoyarsk
ALBINA;V.;KONSTANTINOVA;Female;07.04.1997;916 040 520;Not presented;1,67805E+15;Registered;07.04.2017;0:15;SU1482;Own;Krasnoyarsk
VERA;R.;GRIBOVA;Female;10/17/1977;956 724 736;Not presented;9,40372E+15;None;24.09.2017;1:40;SU1108;Own;Krasnodar
DENIS;GERMANOVICH;SUKHANOV;Male;11.01.1971;5 057 285 380;LFDJDS;8,86134E+15;None;14.02.2017;20:20;SU1450;Own;Kemerovo
ANGELINA;VLADEVNA;IGNATEVA;Female;09/22/1985;2 685 903 678;Not presented;Not presented;Registered;17.04.2017;6:20;SU1129;Own;Moscow
KRISTINA;M.;GORBUNOVA;Female;01/29/1970;4 552 046 627;DMNOJI;2,2099E+15;Registered;13.11.2017;3:55;SU1207;Own;Moscow
MADINA;A.;BIRIUKOVA;Female;03.03.1993;9 048 874 077;Not presented;5,11707E+15;Registered;22.05.2017;20:20;SU1450;Own;Kemerovo
SERGEI;V.;LAZAREV;Male;04.05.2000;6 948 339 409;Not presented;2,05052E+15;Transit;30.09.2017;14:30;SU1501;Own;Moscow
MILENA;I.;LAPSHINA;Female;03.07.1990;7 015 885 040;DYIDKA;Not presented;Registered;06.02.2017;12:30;SU5606;Own;Yuzhno
MELANIIA;S.;ASTAKHOVA;Female;09.09.1978;4 137 469 025;Not presented;3,77898E+14;None;06.02.2017;12:30;SU5606;Own;Yuzhno
IURII;IAROMIROVICH;NIKOLAEV;Male;05/16/1986;3 521 274 082;CSHDPX;Not presented;Transit;13.01.2017;16:35;SU5602;Own;Khabarovsk
NATALIA;R.;LEBEDEVA;Female;11.03.1995;582 008 845;ORKBQY;Not presented;Delayed;13.01.2017;16:35;SU5602;Own;Khabarovsk
